Location,Latitude,Longitude,Date,pH Level,Dissolved Oxygen (mg/L),Turbidity (NTU),Nitrate Levels (mg/L),Phosphate Levels (mg/L),Temperature (°C)
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-11-01,8.01,5.36,2.76,8.18,0.21,17.77
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-31,7.0,14.36,1.31,0.76,0.13,16.0
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-30,8.19,10.52,1.69,4.03,0.03,24.23
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-29,7.06,9.25,1.31,5.0,0.29,10.6
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-28,7.33,9.31,2.65,2.2,0.08,15.46
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-27,7.93,9.62,3.79,1.74,0.02,14.04
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-26,8.12,13.09,4.17,5.47,0.07,14.63
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-25,6.53,5.89,0.59,6.01,0.22,16.5
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-24,6.99,12.32,3.83,1.07,0.07,10.21
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-23,7.59,12.38,2.54,1.57,0.17,24.05
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-22,7.75,13.38,2.31,8.16,0.19,11.85
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-21,6.74,14.41,1.22,1.65,0.28,17.59
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-20,7.74,14.0,3.53,8.22,0.04,14.92
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-19,7.31,7.13,2.04,2.0,0.22,11.81
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-18,6.65,14.05,5.0,5.14,0.1,20.29
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-17,6.56,12.63,3.38,5.69,0.08,15.49
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-16,7.41,7.55,1.76,0.35,0.06,14.29
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-15,6.69,9.14,4.62,2.78,0.06,14.98
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-14,7.53,8.94,2.35,1.64,0.03,19.13
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-13,8.32,11.68,3.6,8.47,0.12,19.42
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-12,7.87,8.2,2.28,7.79,0.06,24.93
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-11,6.89,5.85,4.71,4.34,0.09,17.53
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-10,7.32,8.35,3.39,6.53,0.15,23.82
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-09,7.39,8.97,2.04,9.53,0.28,15.57
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-08,7.53,8.83,2.14,3.9,0.3,17.83
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-07,8.24,12.66,0.95,5.07,0.03,14.42
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-06,6.72,13.12,3.52,7.61,0.01,15.68
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-05,7.04,14.52,4.75,5.08,0.07,23.28
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-04,7.2,10.47,1.07,5.85,0.26,11.35
Guadalupe River at Downtown San Jose,37.3348,-121.8881,2024-10-03,7.36,13.4,3.93,4.17,0.22,19.12
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-11-01,6.58,6.06,4.11,1.81,0.0,17.6
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-31,8.35,6.95,3.76,6.12,0.28,17.15
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-30,8.35,12.27,2.03,3.17,0.06,23.03
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-29,7.95,10.26,3.95,5.94,0.22,23.92
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-28,6.66,7.62,4.4,8.75,0.14,17.53
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-27,6.81,5.0,0.7,2.66,0.1,13.49
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-26,7.03,14.81,4.04,9.56,0.03,22.26
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-25,8.26,11.01,3.17,6.81,0.11,17.61
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-24,7.91,10.37,3.98,9.06,0.13,13.1
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-23,7.83,9.7,1.57,3.76,0.17,13.39
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-22,6.94,6.07,3.82,3.58,0.26,14.4
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-21,7.54,13.78,1.26,1.1,0.15,15.67
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-20,8.44,14.96,3.15,5.21,0.07,14.95
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-19,8.48,13.93,0.56,0.7,0.29,19.7
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-18,7.41,10.18,3.81,6.67,0.06,24.04
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-17,7.18,7.18,3.49,7.22,0.26,15.98
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-16,7.03,6.8,3.25,3.0,0.01,15.45
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-15,7.0,5.63,2.11,3.88,0.11,23.44
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-14,6.97,12.06,4.65,7.55,0.21,20.16
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-13,6.7,14.03,4.41,5.05,0.03,12.53
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-12,6.95,14.79,3.75,2.61,0.16,12.01
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-11,7.56,9.96,1.61,0.99,0.08,11.53
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-10,6.56,13.37,2.36,4.8,0.11,24.82
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-09,7.85,9.86,1.8,5.6,0.07,23.35
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-08,8.05,5.49,3.98,3.18,0.12,18.31
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-07,8.19,6.81,2.87,0.32,0.03,11.49
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-06,7.91,9.42,4.33,9.01,0.27,13.74
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-05,8.44,7.68,4.51,6.58,0.21,12.23
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-04,6.82,6.6,2.0,5.67,0.3,21.4
Coyote Creek near Morgan Hill,37.1305,-121.6505,2024-10-03,7.8,11.21,2.15,7.83,0.11,19.94
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-11-01,6.63,14.13,2.74,9.73,0.24,13.24
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-31,7.87,12.95,2.96,7.76,0.09,19.91
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-30,8.2,10.35,4.64,7.74,0.22,22.38
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-29,7.98,12.56,3.46,5.78,0.04,24.37
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-28,7.87,14.49,2.87,7.1,0.15,23.58
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-27,7.77,12.76,2.16,5.87,0.06,11.06
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-26,8.34,10.59,3.37,4.95,0.04,15.28
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-25,7.63,10.17,2.06,2.19,0.01,24.19
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-24,7.14,13.69,1.08,4.77,0.2,20.78
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-23,8.46,8.39,3.04,0.71,0.1,21.72
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-22,7.46,8.16,2.5,8.97,0.1,22.22
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-21,7.26,9.23,3.59,6.01,0.21,13.4
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-20,6.57,11.9,3.88,6.61,0.05,18.81
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-19,8.03,11.23,3.37,9.73,0.11,24.25
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-18,7.78,9.57,0.95,8.06,0.08,17.56
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-17,8.04,12.29,0.62,3.34,0.12,16.78
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-16,7.98,12.59,1.23,0.91,0.13,19.51
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-15,7.61,13.76,2.29,0.89,0.03,14.69
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-14,6.87,12.73,2.16,8.05,0.28,14.11
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-13,7.41,11.99,2.29,7.7,0.11,20.55
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-12,6.56,10.59,2.02,8.1,0.09,21.9
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-11,8.29,11.06,0.67,4.83,0.07,12.78
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-10,7.44,9.46,4.98,9.59,0.21,17.59
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-09,7.66,6.54,1.56,9.79,0.09,16.11
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-08,7.23,14.51,2.69,2.64,0.15,11.76
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-07,7.32,14.65,3.82,2.08,0.02,13.19
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-06,6.82,6.05,0.65,2.24,0.19,23.84
Los Gatos Creek at Campbell,37.2872,-121.9446,2024-10-05,7.78,14.04,3.06,5.41,0.18,23.36
